customerid,risk_score,risk_band,churn_probability,tenure_months,contract,internet_service,monthly_charges
7365-BVCJH,86,High,0.8634,1,Month-to-month,DSL,24.4
9617-INGJY,86,High,0.8622,1,Month-to-month,Fiber optic,70.6
1640-PLFMP,86,High,0.8619,1,Month-to-month,Fiber optic,70.25
4234-XTNEA,86,High,0.8585,2,Month-to-month,Fiber optic,79.95
7952-OBOYL,86,High,0.8572,3,Month-to-month,Fiber optic,89.85
0187-QSXOE,86,High,0.8564,7,Month-to-month,Fiber optic,89.0
7278-CKDNC,86,High,0.8561,24,Month-to-month,Fiber optic,80.5
6851-WEFYX,86,High,0.8554,35,Month-to-month,Fiber optic,100.8
4847-TAJYI,85,High,0.8536,6,Month-to-month,Fiber optic,89.35
4115-NZRKS,85,High,0.8519,7,Month-to-month,Fiber optic,89.15
7398-SKNQZ,85,High,0.8474,3,Month-to-month,Fiber optic,94.9
8873-GLDMH,85,High,0.8456,6,Month-to-month,Fiber optic,73.85
5442-BHQNG,84,High,0.8449,2,Month-to-month,Fiber optic,70.35
3295-YVUSR,84,High,0.8448,2,Month-to-month,Fiber optic,72.6
2439-LYPMQ,84,High,0.8421,38,Month-to-month,Fiber optic,102.6
6350-XFYGW,84,High,0.8411,4,Month-to-month,Fiber optic,94.75
8087-LGYHQ,84,High,0.8399,9,Month-to-month,Fiber optic,94.05
1393-IMKZG,84,High,0.8386,1,Month-to-month,Fiber optic,95.85
2665-NPTGL,84,High,0.8385,26,Month-to-month,Fiber optic,98.1
2754-SDJRD,84,High,0.8385,8,Month-to-month,Fiber optic,100.15
5382-SOYZL,84,High,0.8371,22,Month-to-month,Fiber optic,95.1
5348-CAGXB,84,High,0.8355,12,Month-to-month,Fiber optic,89.55
4132-KALRO,83,High,0.8344,4,Month-to-month,Fiber optic,100.85
1173-XZPYF,83,High,0.8337,11,Month-to-month,Fiber optic,89.2
6215-NQCPY,83,High,0.8334,15,Month-to-month,Fiber optic,99.7
8132-YPVBX,83,High,0.829,6,Month-to-month,Fiber optic,85.95
4706-DGAHW,83,High,0.8285,1,Month-to-month,DSL,45.2
5628-FCGYG,83,High,0.8277,21,Month-to-month,Fiber optic,84.1
7402-EYFXX,83,High,0.8274,26,Month-to-month,Fiber optic,93.6
8709-KRDVL,83,High,0.8269,33,Month-to-month,Fiber optic,100.0
6918-UMQCG,83,High,0.8265,5,Month-to-month,Fiber optic,80.2
4749-OJKQU,83,High,0.8257,4,Month-to-month,Fiber optic,75.65
0432-CAJZV,83,High,0.8257,3,Month-to-month,Fiber optic,90.7
1960-UYCNN,83,High,0.8257,10,Month-to-month,Fiber optic,95.25
6185-TASNN,82,High,0.825,1,Month-to-month,DSL,46.3
2123-AGEEN,82,High,0.8231,7,Month-to-month,Fiber optic,84.35
3717-OEAUQ,82,High,0.822,2,Month-to-month,Fiber optic,70.7
3370-HXOPH,82,High,0.8214,3,Month-to-month,Fiber optic,76.1
7392-YYPYJ,82,High,0.8199,22,Month-to-month,Fiber optic,100.65
6229-LSCKB,82,High,0.8194,6,Month-to-month,Fiber optic,79.7
4301-VVZKA,82,High,0.8179,16,Month-to-month,Fiber optic,75.4
4060-LDNLU,82,High,0.8177,7,Month-to-month,Fiber optic,96.2
1833-TCXKK,82,High,0.8175,45,Month-to-month,Fiber optic,107.75
7823-JSOAG,82,High,0.8172,3,Month-to-month,Fiber optic,74.5
6435-SRWBJ,82,High,0.8167,5,Month-to-month,Fiber optic,82.75
3030-YDNRM,82,High,0.8159,8,Month-to-month,Fiber optic,74.85
2789-HQBOU,81,High,0.8146,3,Month-to-month,Fiber optic,80.35
0396-YCHWO,81,High,0.8136,36,Month-to-month,Fiber optic,95.4
5043-TRZWM,81,High,0.8134,1,Month-to-month,Fiber optic,75.55
2674-MIAHT,81,High,0.8133,4,Month-to-month,Fiber optic,80.3
4633-MKHYU,81,High,0.8131,9,Month-to-month,Fiber optic,88.4
2985-FMWYF,81,High,0.8124,23,Month-to-month,Fiber optic,93.5
9741-YLNTD,81,High,0.8123,6,Month-to-month,Fiber optic,87.95
5995-SNNEW,81,High,0.812,23,Month-to-month,Fiber optic,104.45
9050-IKDZA,81,High,0.8111,2,Month-to-month,Fiber optic,81.5
4929-XIHVW,81,High,0.8109,2,Month-to-month,Fiber optic,95.5
8107-KNCIM,81,High,0.8108,14,Month-to-month,Fiber optic,75.1
3384-CTMSF,81,High,0.8093,47,Month-to-month,Fiber optic,104.1
4813-HQMGZ,81,High,0.808,8,Month-to-month,Fiber optic,90.25
9696-RMYBA,81,High,0.8076,5,Month-to-month,Fiber optic,80.1
2371-JQHZZ,81,High,0.8056,24,Month-to-month,Fiber optic,93.0
3338-CVVEH,80,High,0.805,12,Month-to-month,Fiber optic,94.55
1766-GKNMI,80,High,0.8048,29,Month-to-month,Fiber optic,84.9
0840-DFEZH,80,High,0.8042,7,Month-to-month,Fiber optic,75.35
8541-QVFKM,80,High,0.804,8,Month-to-month,Fiber optic,73.5
1200-TUZHR,80,High,0.8039,8,Month-to-month,Fiber optic,85.2
3292-PBZEJ,80,High,0.8033,11,Month-to-month,Fiber optic,111.4
4298-OYIFC,80,High,0.8025,15,Month-to-month,Fiber optic,103.45
4559-UWIHT,80,High,0.8017,14,Month-to-month,Fiber optic,82.65
5501-TVMGM,80,High,0.8014,1,Month-to-month,DSL,55.25
6127-IYJOZ,80,High,0.8013,1,Month-to-month,DSL,45.85
6496-JDSSB,80,High,0.8007,8,Month-to-month,Fiber optic,80.0
0928-JMXNP,80,High,0.8006,4,Month-to-month,DSL,29.9
9822-OAOVB,80,High,0.7996,1,Month-to-month,DSL,55.45
7858-GTZSP,80,High,0.7978,12,Month-to-month,Fiber optic,86.55
9360-OMDZZ,80,High,0.7959,24,Month-to-month,Fiber optic,94.1
3199-XGZCY,80,High,0.7956,8,Month-to-month,Fiber optic,75.25
5133-POWUA,79,High,0.7934,1,Month-to-month,DSL,45.8
8875-AKBYH,79,High,0.7928,20,Month-to-month,Fiber optic,84.35
4686-UXDML,79,High,0.7926,21,Month-to-month,Fiber optic,99.85
9279-CJEOJ,79,High,0.7913,21,Month-to-month,Fiber optic,95.4
6507-ZJSUR,79,High,0.79,23,Month-to-month,Fiber optic,90.45
3411-WLRSQ,79,High,0.7895,3,Month-to-month,Fiber optic,74.6
5956-YHHRX,79,High,0.7894,21,Month-to-month,Fiber optic,104.35
2081-VEYEH,79,High,0.7883,3,Month-to-month,Fiber optic,107.95
7321-VGNKU,79,High,0.7875,2,Month-to-month,Fiber optic,70.35
0365-BZUWY,79,High,0.7873,17,Month-to-month,Fiber optic,102.55
2905-KFQUV,79,High,0.786,2,Month-to-month,Fiber optic,70.4
4983-CCWMC,79,High,0.7856,3,Month-to-month,Fiber optic,69.6
2984-AFWNC,78,High,0.7846,3,Month-to-month,Fiber optic,95.4
2235-DWLJU,78,High,0.7832,6,Month-to-month,DSL,44.4
6734-GMPVK,78,High,0.7831,5,Month-to-month,Fiber optic,105.3
8313-NDOIA,78,High,0.7829,24,Month-to-month,Fiber optic,104.15
5429-LWCMV,78,High,0.7827,12,Month-to-month,Fiber optic,89.15
9840-EFJQB,78,High,0.7822,1,Month-to-month,Fiber optic,74.35
2876-GZYZC,78,High,0.7819,13,Month-to-month,Fiber optic,85.95
9290-SHCMB,78,High,0.7811,13,Month-to-month,Fiber optic,96.85
3096-GKWEB,78,High,0.7811,18,Month-to-month,Fiber optic,94.75
4029-HPFVY,78,High,0.7809,3,Month-to-month,Fiber optic,70.3
5701-YVSVF,78,High,0.7808,11,Month-to-month,Fiber optic,82.9
1508-DFXCU,78,High,0.7805,12,Month-to-month,Fiber optic,81.45
4884-ZTHVF,78,High,0.7804,8,Month-to-month,Fiber optic,87.1
3312-UUMZW,78,High,0.7803,32,Month-to-month,Fiber optic,98.85
5331-RGMTT,78,High,0.7803,54,Month-to-month,Fiber optic,99.05
8242-SOQUO,78,High,0.7799,5,Month-to-month,Fiber optic,84.7
2800-VEQXM,78,High,0.7789,3,Month-to-month,Fiber optic,74.75
4059-IIEBK,78,High,0.7783,7,Month-to-month,Fiber optic,78.55
3496-LFSZU,78,High,0.7773,4,Month-to-month,Fiber optic,70.5
4395-PZMSN,78,High,0.7765,5,Month-to-month,Fiber optic,85.55
6116-RFVHN,78,High,0.7754,34,Month-to-month,Fiber optic,100.45
8266-VBFQL,78,High,0.7753,4,Month-to-month,Fiber optic,90.4
6986-IXNDM,78,High,0.7753,14,Month-to-month,Fiber optic,92.9
6407-UTSLV,78,High,0.7753,2,Month-to-month,Fiber optic,83.8
1335-NTIUC,78,High,0.7751,9,Month-to-month,DSL,24.95
5226-NOZFC,77,High,0.7748,26,Month-to-month,Fiber optic,85.75
0722-SVSFK,77,High,0.7746,7,Month-to-month,Fiber optic,100.4
5119-KEPFY,77,High,0.7742,36,Month-to-month,Fiber optic,95.0
7225-CBZPL,77,High,0.7742,17,Month-to-month,Fiber optic,94.8
5935-FCCNB,77,High,0.7741,17,Month-to-month,Fiber optic,94.2
6198-ZFIOJ,77,High,0.774,5,Month-to-month,Fiber optic,75.6
5937-EORGB,77,High,0.7737,15,Month-to-month,Fiber optic,96.5
3951-NJCVI,77,High,0.773,42,Month-to-month,Fiber optic,95.05
9638-JIQYA,77,High,0.7729,2,Month-to-month,DSL,24.9
1219-NNDDO,77,High,0.7729,9,Month-to-month,Fiber optic,76.85
2800-QQUSO,77,High,0.7728,42,Month-to-month,Fiber optic,100.3
5117-IFGPS,77,High,0.7726,29,Month-to-month,Fiber optic,84.3
5399-ZIMKF,77,High,0.7726,5,Month-to-month,Fiber optic,74.65
4770-UEZOX,77,High,0.7716,2,Month-to-month,Fiber optic,74.75
8903-WMRNW,77,High,0.7712,15,Month-to-month,Fiber optic,101.75
2135-DQWAQ,77,High,0.7711,5,Month-to-month,Fiber optic,85.3
6860-YRJZP,77,High,0.7711,9,Month-to-month,Fiber optic,74.05
7537-RBWEA,77,High,0.7705,1,Month-to-month,DSL,25.15
5760-IFJOZ,77,High,0.7703,3,Month-to-month,Fiber optic,107.95
9919-KNPOO,77,High,0.7699,21,Month-to-month,Fiber optic,94.3
3597-MVHJT,77,High,0.7698,27,Month-to-month,Fiber optic,95.6
9133-AYJZG,77,High,0.7696,23,Month-to-month,Fiber optic,98.7
9717-QEBGU,77,High,0.7696,2,Month-to-month,Fiber optic,70.3
7354-OIJLX,77,High,0.7694,9,Month-to-month,Fiber optic,75.85
7714-YXSMB,77,High,0.7681,26,Month-to-month,Fiber optic,100.5
6175-IRFIT,77,High,0.7663,5,Month-to-month,Fiber optic,78.75
5216-WASFJ,77,High,0.7662,31,Month-to-month,Fiber optic,84.85
4367-NHWMM,77,High,0.7653,1,Month-to-month,DSL,24.9
4223-WOZCM,76,High,0.7646,2,Month-to-month,DSL,49.95
2740-TVLFN,76,High,0.7644,1,Month-to-month,DSL,50.15
8714-CTZJW,76,High,0.7637,4,Month-to-month,Fiber optic,82.85
3841-CONLJ,76,High,0.7636,1,Month-to-month,DSL,35.0
7901-TBKJX,76,High,0.763,56,Month-to-month,Fiber optic,101.05
6212-ATMLK,76,High,0.7621,50,Month-to-month,Fiber optic,95.7
9799-CAYJJ,76,High,0.7615,2,Month-to-month,Fiber optic,69.3
5650-YLIBA,76,High,0.7603,31,Month-to-month,Fiber optic,81.15
5119-NZPTV,76,High,0.7596,2,Month-to-month,Fiber optic,70.1
8785-CJSHH,76,High,0.7594,60,Month-to-month,Fiber optic,99.8
7233-DRTRF,76,High,0.759,63,Month-to-month,Fiber optic,102.4
6583-KQJLK,76,High,0.7589,15,Month-to-month,Fiber optic,94.65
7044-YAACC,76,High,0.7579,4,Month-to-month,Fiber optic,70.2
8035-PWSEV,76,High,0.7579,6,Month-to-month,Fiber optic,89.25
3966-HRMZA,76,High,0.7572,3,Month-to-month,Fiber optic,75.05
0248-IPDFW,76,High,0.7569,1,Month-to-month,DSL,50.1
5928-QLDHB,76,High,0.7568,9,Month-to-month,Fiber optic,76.25
4521-YEEHE,76,High,0.7555,18,Month-to-month,Fiber optic,88.85
3317-VLGQT,76,High,0.7551,14,Month-to-month,Fiber optic,78.1
5652-MSDEY,75,High,0.7549,10,Month-to-month,Fiber optic,75.75
0749-IRGQE,75,High,0.7548,13,Month-to-month,DSL,45.3
7206-PQBBZ,75,High,0.7544,11,Month-to-month,Fiber optic,70.2
3420-YJLQT,75,High,0.7539,2,Month-to-month,Fiber optic,79.55
6034-YMTOB,75,High,0.753,5,Month-to-month,Fiber optic,75.65
2831-EBWRN,75,High,0.753,4,Month-to-month,DSL,45.9
2897-DOVND,75,High,0.7529,2,Month-to-month,Fiber optic,69.8
2694-CIUMO,75,High,0.752,12,Month-to-month,Fiber optic,79.55
0018-NYROU,75,High,0.7518,5,Month-to-month,Fiber optic,68.95
3365-SAIGS,75,High,0.7517,17,Month-to-month,Fiber optic,83.55
4647-MUZON,75,High,0.7512,18,Month-to-month,Fiber optic,95.95
1077-HUUJM,75,High,0.7509,7,Month-to-month,Fiber optic,71.05
3420-ZDBMA,75,High,0.7509,5,Month-to-month,Fiber optic,71.45
5857-TYBCJ,75,High,0.7505,44,Month-to-month,Fiber optic,89.2
2880-FPNAE,75,High,0.7504,2,Month-to-month,Fiber optic,74.2
1469-LBJQJ,75,High,0.7504,66,Month-to-month,Fiber optic,105.2
3427-GGZZI,75,High,0.7499,19,Month-to-month,Fiber optic,89.1
0480-BIXDE,75,High,0.7499,19,Month-to-month,Fiber optic,96.8
3566-HJGPK,75,High,0.7498,1,Month-to-month,DSL,45.55
2277-VWCNI,75,High,0.7498,4,Month-to-month,DSL,48.75
0674-EYYZV,75,High,0.7494,1,Month-to-month,DSL,54.65
7590-VHVEG,75,High,0.7492,1,Month-to-month,DSL,29.85
0168-XZKBB,75,High,0.7487,19,Month-to-month,Fiber optic,86.85
1475-VWVDO,75,High,0.7486,7,Month-to-month,Fiber optic,74.9
6705-LXORM,75,High,0.7485,5,Month-to-month,Fiber optic,70.05
1746-TGTWV,75,High,0.7479,1,Month-to-month,Fiber optic,75.35
1754-GKYPY,75,High,0.7474,22,Month-to-month,Fiber optic,89.75
8720-RQSBJ,75,High,0.7474,1,Month-to-month,DSL,44.0
6267-DCFFZ,75,High,0.7471,30,Month-to-month,Fiber optic,90.05
8325-QRPZR,75,High,0.7471,7,Month-to-month,Fiber optic,75.15
5365-LLFYV,75,High,0.7464,2,Month-to-month,DSL,45.85
9903-LYSAB,75,High,0.7464,18,Month-to-month,Fiber optic,73.15
4815-GBTCD,75,High,0.7459,4,Month-to-month,DSL,25.15
8778-LMWTJ,75,High,0.7456,9,Month-to-month,Fiber optic,74.85
0958-YHXGP,75,High,0.7455,7,Month-to-month,Fiber optic,69.9
2275-RBYQS,75,High,0.7455,1,Month-to-month,DSL,45.4
1942-OQFRW,75,High,0.7453,1,Month-to-month,DSL,44.0
1078-TDCRN,74,High,0.7449,3,Month-to-month,DSL,30.75
0644-OQMDK,74,High,0.7446,4,Month-to-month,Fiber optic,70.65
0224-RLWWD,74,High,0.7441,2,Month-to-month,DSL,44.3
4482-EWFMI,74,High,0.744,2,Month-to-month,Fiber optic,69.7
9743-DQKQW,74,High,0.744,3,Month-to-month,DSL,25.1
6519-CFDBX,74,High,0.7439,2,Month-to-month,DSL,45.4
8819-IMISP,74,High,0.7427,31,Month-to-month,Fiber optic,80.45
8356-WUAOJ,74,High,0.7422,1,Month-to-month,DSL,45.0
1016-DJTSV,74,High,0.7414,8,Month-to-month,Fiber optic,69.7
6377-WHAOX,74,High,0.7412,60,Month-to-month,Fiber optic,106.15
0899-LIIBW,74,High,0.7409,34,Month-to-month,Fiber optic,100.85
5044-LRQAQ,74,High,0.7409,7,Month-to-month,Fiber optic,69.2
1536-HBSWP,74,High,0.7409,1,Month-to-month,DSL,49.9
3278-FSIXX,74,High,0.7409,2,Month-to-month,DSL,45.25
4273-MBHYA,74,High,0.7402,1,Month-to-month,Fiber optic,89.35
2675-DHUTR,74,High,0.7401,58,Month-to-month,Fiber optic,98.9
7442-YGZFK,74,High,0.7399,1,Month-to-month,DSL,49.8
5405-ZMYXQ,74,High,0.7395,8,Month-to-month,Fiber optic,74.6
5091-HFAZW,74,High,0.7392,2,Month-to-month,Fiber optic,91.15
2103-ZRXFN,74,High,0.7387,1,Month-to-month,DSL,50.75
0420-HLGXF,74,High,0.7384,39,Month-to-month,Fiber optic,99.75
2799-ARNLO,74,High,0.7373,5,Month-to-month,Fiber optic,69.35
9244-ZVAPM,74,High,0.7367,1,Month-to-month,DSL,45.6
6833-JMZYP,74,High,0.7365,15,Month-to-month,Fiber optic,94.0
5599-HVLTW,74,High,0.7353,14,Month-to-month,Fiber optic,80.35
6173-GOLSU,73,High,0.7334,67,Month-to-month,Fiber optic,94.65
8705-WZCYL,73,High,0.7317,1,Month-to-month,DSL,44.8
5968-VXZLG,73,High,0.7311,2,Month-to-month,DSL,46.6
2325-NBPZG,73,High,0.7309,3,Month-to-month,Fiber optic,74.55
1658-TJVOA,73,High,0.7307,6,Month-to-month,Fiber optic,74.1
9992-UJOEL,73,High,0.73,2,Month-to-month,DSL,50.3
2688-BHGOG,73,High,0.73,9,Month-to-month,Fiber optic,79.55
4373-VVHQL,73,High,0.7295,1,Month-to-month,DSL,44.75
9508-ILZDG,73,High,0.7294,34,Month-to-month,Fiber optic,96.35
3352-ALMCK,73,High,0.7293,40,Month-to-month,Fiber optic,102.65
5760-FXFVO,73,High,0.7291,6,Month-to-month,Fiber optic,78.95
9633-XQABV,73,High,0.729,3,Month-to-month,Fiber optic,70.25
3413-BMNZE,73,High,0.7288,1,Month-to-month,DSL,45.25
7394-LWLYN,73,High,0.728,2,Month-to-month,Fiber optic,70.15
9752-ZNQUT,73,High,0.7277,1,Month-to-month,DSL,48.6
5606-AMZBO,73,High,0.7276,10,Month-to-month,Fiber optic,78.15
1666-JXLKU,73,High,0.7276,37,Month-to-month,Fiber optic,100.05
7586-ZATGZ,73,High,0.7271,40,Month-to-month,Fiber optic,84.9
8687-BAFGU,73,High,0.7261,1,Month-to-month,Fiber optic,74.0
0410-IPFTY,73,High,0.726,31,Month-to-month,Fiber optic,83.85
4450-DLLMH,73,High,0.7257,2,Month-to-month,Fiber optic,71.3
6158-HDPXZ,72,High,0.7248,1,Month-to-month,DSL,25.35
5339-PXDVH,72,High,0.7247,4,Month-to-month,Fiber optic,90.65
5692-ICXLW,72,High,0.7245,31,Month-to-month,Fiber optic,90.7
3005-TYFRD,72,High,0.7244,55,Month-to-month,Fiber optic,103.65
7517-LDMPS,72,High,0.7239,12,Month-to-month,Fiber optic,84.6
0928-XUTSN,72,High,0.7233,13,Month-to-month,Fiber optic,80.5
7426-RHZGU,72,High,0.7229,9,Month-to-month,Fiber optic,95.9
0599-XNYDO,72,High,0.7228,20,Month-to-month,Fiber optic,69.8
8648-PFRMP,72,High,0.7227,14,Month-to-month,DSL,46.35
6077-BDPXA,72,High,0.7222,3,Month-to-month,Fiber optic,70.15
0196-JTUQI,72,High,0.722,9,Month-to-month,Fiber optic,75.2
5453-AXEPF,72,High,0.7218,17,Month-to-month,Fiber optic,80.5
9167-APMXZ,72,High,0.7212,22,Month-to-month,Fiber optic,84.15
2468-SJFLM,72,High,0.7209,1,Month-to-month,Fiber optic,74.3
3452-GWUIN,72,High,0.7209,19,Month-to-month,Fiber optic,94.95
4854-CIDCF,72,High,0.7207,3,Month-to-month,Fiber optic,73.85
7245-NIIWQ,72,High,0.7196,3,Month-to-month,Fiber optic,69.85
1845-ZLLIG,72,High,0.7187,1,Month-to-month,DSL,50.15
2809-ZMYOQ,72,High,0.7185,32,Month-to-month,Fiber optic,101.35
2378-VTKDH,72,High,0.7176,65,Month-to-month,Fiber optic,104.35
5605-IYGFG,72,High,0.7175,7,Month-to-month,Fiber optic,69.85
4536-PLEQY,72,High,0.7165,12,Month-to-month,Fiber optic,85.05
4062-HBMOS,72,High,0.7151,52,Month-to-month,Fiber optic,103.05
4566-NECEV,71,High,0.7148,5,Month-to-month,Fiber optic,96.55
7668-XCFYV,71,High,0.7146,17,Month-to-month,Fiber optic,92.55
0447-RXSGD,71,High,0.7145,24,Month-to-month,Fiber optic,99.65
1302-UHBDD,71,High,0.7144,20,Month-to-month,Fiber optic,89.95
6198-RTPMF,71,High,0.7142,17,Month-to-month,Fiber optic,92.6
4581-LNWUM,71,High,0.7136,13,Month-to-month,DSL,49.15
4546-FOKWR,71,High,0.7134,16,Month-to-month,Fiber optic,74.75
0848-ZGQIJ,71,High,0.713,16,Month-to-month,Fiber optic,94.65
2504-DSHIH,71,High,0.7128,23,Month-to-month,Fiber optic,86.8
9093-FPDLG,71,High,0.7126,11,Month-to-month,Fiber optic,94.2
3518-PZXZQ,71,High,0.7123,1,Month-to-month,DSL,55.3
2107-FBPTK,71,High,0.712,30,Month-to-month,Fiber optic,104.1
8695-ARGXZ,71,High,0.712,34,Month-to-month,Fiber optic,75.55
0682-USIXD,71,High,0.7117,21,Month-to-month,Fiber optic,86.05
8180-AKMJV,71,High,0.7114,1,Month-to-month,DSL,44.55
6542-LWGXJ,71,High,0.7113,3,Month-to-month,DSL,25.0
2424-WVHPL,71,High,0.7113,1,Month-to-month,Fiber optic,74.7
1932-UEDCX,71,High,0.7107,33,Month-to-month,Fiber optic,100.6
6260-ONULR,71,High,0.7104,1,Month-to-month,DSL,62.8
9402-ORRAH,71,High,0.7102,15,Month-to-month,Fiber optic,91.5
2080-CAZNM,71,High,0.7085,41,Month-to-month,Fiber optic,104.4
4291-SHSBH,71,High,0.7081,7,Month-to-month,Fiber optic,69.55
9121-PHQSR,71,High,0.7078,16,Month-to-month,Fiber optic,85.05
2959-FENLU,71,High,0.7078,9,Month-to-month,Fiber optic,85.3
4480-QQRHC,71,High,0.7072,8,Month-to-month,Fiber optic,74.05
2862-PFNIK,71,High,0.706,1,Month-to-month,DSL,24.7
7315-WYOAW,71,High,0.7056,13,Month-to-month,Fiber optic,100.75
3453-RTHJQ,71,High,0.7056,6,Month-to-month,Fiber optic,69.1
2637-FKFSY,70,High,0.705,3,Month-to-month,DSL,46.1
4741-WWJQZ,70,High,0.705,2,Month-to-month,Fiber optic,80.15
2523-EWWZL,70,High,0.7049,27,Month-to-month,Fiber optic,76.1
2187-PKZAY,70,High,0.7047,12,Month-to-month,Fiber optic,79.95
4195-NZGTA,70,High,0.7043,1,Month-to-month,DSL,25.25
2604-IJPDU,70,High,0.7042,20,Month-to-month,Fiber optic,96.55
5144-TVGLP,70,High,0.7029,38,Month-to-month,Fiber optic,94.75
0620-DLSLK,70,High,0.7029,13,Month-to-month,Fiber optic,81.9
0434-CSFON,70,High,0.7023,47,Month-to-month,Fiber optic,100.5
9365-SRSZE,70,High,0.7021,27,Month-to-month,Fiber optic,70.55
1608-GMEWB,70,High,0.7017,45,Month-to-month,Fiber optic,93.9
3223-DWFIO,70,High,0.7011,4,Month-to-month,Fiber optic,69.35
3914-FDRHP,70,High,0.701,9,Month-to-month,Fiber optic,86.25
2672-OJQZP,70,High,0.7009,1,Month-to-month,DSL,44.75
7252-NTGSS,70,High,0.7008,1,Month-to-month,DSL,45.15
6242-MBHPK,70,High,0.7008,23,Month-to-month,Fiber optic,95.1
0225-ZORZP,70,High,0.7006,3,Month-to-month,Fiber optic,84.3
2080-GKCWQ,70,High,0.7005,2,Month-to-month,Fiber optic,74.95
9927-DSWDF,70,High,0.7004,22,Month-to-month,Fiber optic,104.6
5666-CYCYZ,70,High,0.6995,24,Month-to-month,Fiber optic,89.55
3714-NTNFO,70,High,0.6989,49,Month-to-month,Fiber optic,84.5
9214-EKVXR,70,High,0.6983,1,Month-to-month,DSL,44.0
0988-JRWWP,70,High,0.698,3,Month-to-month,DSL,54.2
3629-ZNKXA,70,High,0.6975,17,Month-to-month,Fiber optic,101.8
2038-OEQZH,70,High,0.6972,4,Month-to-month,Fiber optic,86.05
3196-NVXLZ,70,High,0.6957,25,Month-to-month,Fiber optic,84.6
6030-REHUX,70,High,0.6951,28,Month-to-month,Fiber optic,110.85
8445-DNBAE,70,High,0.695,1,Month-to-month,DSL,50.05
7181-OQCUT,69,High,0.6948,21,Month-to-month,Fiber optic,103.85
9588-OZDMQ,69,High,0.6939,2,Month-to-month,DSL,45.0
9631-XEYKE,69,High,0.6938,3,Month-to-month,DSL,50.4
9058-MJLZC,69,High,0.6938,24,Month-to-month,Fiber optic,94.6
4727-MCYZG,69,High,0.6933,1,Month-to-month,DSL,55.55
