CustomerID,risk_score,risk_band,churn_probability,Tenure Months,Contract,Internet Service,Monthly Charges,recommended_actions
4912-PIGUY,94,High,0.9381,1,Month-to-month,Fiber optic,84.6,Offer a term contract; Add Online Security (incentive)
8309-IEYJD,89,High,0.8872,1,Month-to-month,Fiber optic,70.6,Offer a term contract; Add Online Security (incentive)
3411-WLRSQ,88,High,0.8817,3,Month-to-month,Fiber optic,74.6,Offer a term contract; Add Online Security (incentive)
2905-KFQUV,88,High,0.8805,2,Month-to-month,Fiber optic,70.4,Offer a term contract; Add Online Security (incentive)
4090-KPJIP,88,High,0.8802,3,Month-to-month,Fiber optic,74.95,Offer a term contract; Add Online Security (incentive)
8714-CTZJW,88,High,0.8783,4,Month-to-month,Fiber optic,82.85,Offer a term contract; Add Online Security (incentive)
8622-ZLFKO,88,High,0.878,6,Month-to-month,Fiber optic,90.75,Offer a term contract; Add Online Security (incentive)
9741-YLNTD,88,High,0.878,6,Month-to-month,Fiber optic,87.95,Offer a term contract; Add Online Security (incentive)
5119-NZPTV,88,High,0.8772,2,Month-to-month,Fiber optic,70.1,Offer a term contract; Add Online Security (incentive)
6229-LSCKB,88,High,0.8766,6,Month-to-month,Fiber optic,79.7,Offer a term contract; Add Online Security (incentive)
9050-IKDZA,88,High,0.8756,2,Month-to-month,Fiber optic,81.5,Offer a term contract; Add Online Security (incentive)
4395-PZMSN,87,High,0.8746,5,Month-to-month,Fiber optic,85.55,Offer a term contract; Add Online Security (incentive)
1746-TGTWV,87,High,0.873,1,Month-to-month,Fiber optic,75.35,Offer a term contract; Add Online Security (incentive)
9840-EFJQB,87,High,0.8717,1,Month-to-month,Fiber optic,74.35,Offer a term contract; Add Online Security (incentive)
8161-QYMTT,87,High,0.8694,7,Month-to-month,Fiber optic,94.1,Offer a term contract; Add Online Security (incentive)
2880-FPNAE,87,High,0.8685,2,Month-to-month,Fiber optic,74.2,Offer a term contract; Add Online Security (incentive)
9799-CAYJJ,87,High,0.8682,2,Month-to-month,Fiber optic,69.3,Offer a term contract; Add Online Security (incentive)
6918-UMQCG,87,High,0.8675,5,Month-to-month,Fiber optic,80.2,Offer a term contract; Add Online Security (incentive)
9633-XQABV,87,High,0.8674,3,Month-to-month,Fiber optic,70.25,Offer a term contract; Add Online Security (incentive)
0187-QSXOE,87,High,0.8673,7,Month-to-month,Fiber optic,89.0,Offer a term contract; Add Online Security (incentive)
6435-SRWBJ,87,High,0.8662,5,Month-to-month,Fiber optic,82.75,Offer a term contract; Add Online Security (incentive)
5348-CAGXB,87,High,0.8652,12,Month-to-month,Fiber optic,89.55,Offer a term contract; Add Online Security (incentive)
3295-YVUSR,87,High,0.865,2,Month-to-month,Fiber optic,72.6,Offer a term contract; Add Online Security (incentive)
2674-MIAHT,86,High,0.8634,4,Month-to-month,Fiber optic,80.3,Offer a term contract; Add Online Security (incentive)
2081-VEYEH,86,High,0.8632,3,Month-to-month,Fiber optic,107.95,Offer a term contract; Add Online Security (incentive)
4132-KALRO,86,High,0.8632,4,Month-to-month,Fiber optic,100.85,Offer a term contract; Add Online Security (incentive)
3370-HXOPH,86,High,0.8625,3,Month-to-month,Fiber optic,76.1,Offer a term contract; Add Online Security (incentive)
0928-JMXNP,86,High,0.8619,4,Month-to-month,DSL,29.9,Offer a term contract; Add Online Security (incentive)
4450-DLLMH,86,High,0.8616,2,Month-to-month,Fiber optic,71.3,Offer a term contract; Add Online Security (incentive)
4770-UEZOX,86,High,0.861,2,Month-to-month,Fiber optic,74.75,Offer a term contract; Add Online Security (incentive)
5760-IFJOZ,86,High,0.8605,3,Month-to-month,Fiber optic,107.95,Offer a term contract; Add Online Security (incentive)
4115-NZRKS,86,High,0.8579,7,Month-to-month,Fiber optic,89.15,Offer a term contract; Add Online Security (incentive)
8242-SOQUO,86,High,0.8579,5,Month-to-month,Fiber optic,84.7,Offer a term contract; Add Online Security (incentive)
2123-AGEEN,86,High,0.8577,7,Month-to-month,Fiber optic,84.35,Offer a term contract; Add Online Security (incentive)
7365-BVCJH,86,High,0.8573,1,Month-to-month,DSL,24.4,Offer a term contract; Add Online Security (incentive)
7823-JSOAG,86,High,0.8562,3,Month-to-month,Fiber optic,74.5,Offer a term contract; Add Online Security (incentive)
2215-ZAFGX,86,High,0.8554,9,Month-to-month,Fiber optic,85.5,Offer a term contract; Add Online Security (incentive)
6198-ZFIOJ,86,High,0.8551,5,Month-to-month,Fiber optic,75.6,Offer a term contract; Add Online Security (incentive)
1960-UYCNN,85,High,0.8544,10,Month-to-month,Fiber optic,95.25,Offer a term contract; Add Online Security (incentive)
7044-YAACC,85,High,0.8541,4,Month-to-month,Fiber optic,70.2,Offer a term contract; Add Online Security (incentive)
5442-BHQNG,85,High,0.8537,2,Month-to-month,Fiber optic,70.35,Offer a term contract; Add Online Security (incentive)
0018-NYROU,85,High,0.8536,5,Month-to-month,Fiber optic,68.95,Offer a term contract; Add Online Security (incentive)
7994-UYIVZ,85,High,0.853,8,Month-to-month,Fiber optic,85.65,Offer a term contract; Add Online Security (incentive)
4060-LDNLU,85,High,0.8519,7,Month-to-month,Fiber optic,96.2,Offer a term contract; Add Online Security (incentive)
8087-LGYHQ,85,High,0.8518,9,Month-to-month,Fiber optic,94.05,Offer a term contract; Add Online Security (incentive)
4482-EWFMI,85,High,0.8516,2,Month-to-month,Fiber optic,69.7,Offer a term contract; Add Online Security (incentive)
4566-NECEV,85,High,0.8509,5,Month-to-month,Fiber optic,96.55,Offer a term contract; Add Online Security (incentive)
3841-CONLJ,85,High,0.8504,1,Month-to-month,DSL,35.0,Offer a term contract; Add Online Security (incentive)
8617-ENBDS,85,High,0.8494,3,Month-to-month,Fiber optic,73.6,Offer a term contract; Add Online Security (incentive)
6969-MVBAI,85,High,0.8493,9,Month-to-month,Fiber optic,90.1,Offer a term contract; Add Online Security (incentive)
5399-ZIMKF,85,High,0.8478,5,Month-to-month,Fiber optic,74.65,Offer a term contract; Add Online Security (incentive)
7858-GTZSP,85,High,0.8477,12,Month-to-month,Fiber optic,86.55,Offer a term contract; Add Online Security (incentive)
8132-YPVBX,85,High,0.8471,6,Month-to-month,Fiber optic,85.95,Offer a term contract; Add Online Security (incentive)
5429-LWCMV,85,High,0.8467,12,Month-to-month,Fiber optic,89.15,Offer a term contract; Add Online Security (incentive)
8266-VBFQL,85,High,0.8467,4,Month-to-month,Fiber optic,90.4,Offer a term contract; Add Online Security (incentive)
2984-AFWNC,85,High,0.8456,3,Month-to-month,Fiber optic,95.4,Offer a term contract; Add Online Security (incentive)
4813-HQMGZ,84,High,0.8446,8,Month-to-month,Fiber optic,90.25,Offer a term contract; Add Online Security (incentive)
3420-YJLQT,84,High,0.8445,2,Month-to-month,Fiber optic,79.55,Offer a term contract; Add Online Security (incentive)
6734-GMPVK,84,High,0.8433,5,Month-to-month,Fiber optic,105.3,Offer a term contract; Add Online Security (incentive)
8035-PWSEV,84,High,0.842,6,Month-to-month,Fiber optic,89.25,Offer a term contract; Add Online Security (incentive)
3320-VEOYC,84,High,0.8419,14,Month-to-month,Fiber optic,95.6,Offer a term contract; Add Online Security (incentive)
3338-CVVEH,84,High,0.8412,12,Month-to-month,Fiber optic,94.55,Offer a term contract; Add Online Security (incentive)
1508-DFXCU,84,High,0.8412,12,Month-to-month,Fiber optic,81.45,Offer a term contract; Add Online Security (incentive)
6856-RAURS,84,High,0.8411,2,Month-to-month,Fiber optic,74.9,Offer a term contract; Add Online Security (incentive)
0722-SVSFK,84,High,0.8408,7,Month-to-month,Fiber optic,100.4,Offer a term contract; Add Online Security (incentive)
3489-HHPFY,84,High,0.8396,2,Month-to-month,Fiber optic,84.05,Offer a term contract; Add Online Security (incentive)
9696-RMYBA,84,High,0.8373,5,Month-to-month,Fiber optic,80.1,Offer a term contract; Add Online Security (incentive)
4445-ZJNMU,84,High,0.8369,9,Month-to-month,Fiber optic,99.3,Offer a term contract; Add Online Security (incentive)
1173-XZPYF,84,High,0.8362,11,Month-to-month,Fiber optic,89.2,Offer a term contract; Add Online Security (incentive)
2038-OEQZH,84,High,0.8362,4,Month-to-month,Fiber optic,86.05,Offer a term contract; Add Online Security (incentive)
2135-DQWAQ,84,High,0.8361,5,Month-to-month,Fiber optic,85.3,Offer a term contract; Add Online Security (incentive)
7363-QTBIW,83,High,0.8349,9,Month-to-month,Fiber optic,79.75,Offer a term contract; Add Online Security (incentive)
5935-FCCNB,83,High,0.8348,17,Month-to-month,Fiber optic,94.2,Offer a term contract; Add Online Security (incentive)
9334-GWGOW,83,High,0.8345,7,Month-to-month,Fiber optic,74.85,Offer a term contract; Add Online Security (incentive)
9094-AZPHK,83,High,0.8332,15,Month-to-month,Fiber optic,100.15,Offer a term contract; Add Online Security (incentive)
1200-TUZHR,83,High,0.833,8,Month-to-month,Fiber optic,85.2,Offer a term contract; Add Online Security (incentive)
4884-ZTHVF,83,High,0.8326,8,Month-to-month,Fiber optic,87.1,Offer a term contract; Add Online Security (incentive)
7225-CBZPL,83,High,0.8323,17,Month-to-month,Fiber optic,94.8,Offer a term contract; Add Online Security (incentive)
2800-VEQXM,83,High,0.8317,3,Month-to-month,Fiber optic,74.75,Offer a term contract; Add Online Security (incentive)
0432-CAJZV,83,High,0.8313,3,Month-to-month,Fiber optic,90.7,Offer a term contract; Add Online Security (incentive)
7590-VHVEG,83,High,0.8309,1,Month-to-month,DSL,29.85,Offer a term contract; Add Online Security (incentive)
5928-QLDHB,83,High,0.8307,9,Month-to-month,Fiber optic,76.25,Offer a term contract; Add Online Security (incentive)
6215-NQCPY,83,High,0.8293,15,Month-to-month,Fiber optic,99.7,Offer a term contract; Add Tech Support
3292-PBZEJ,83,High,0.8292,11,Month-to-month,Fiber optic,111.4,Offer a term contract; Add Online Security (incentive)
4983-CCWMC,83,High,0.827,3,Month-to-month,Fiber optic,69.6,Offer a term contract; Add Online Security (incentive)
9290-SHCMB,83,High,0.8268,13,Month-to-month,Fiber optic,96.85,Offer a term contract; Add Online Security (incentive)
3420-ZDBMA,82,High,0.8249,5,Month-to-month,Fiber optic,71.45,Offer a term contract; Add Online Security (incentive)
3916-NRPAP,82,High,0.8235,3,Month-to-month,Fiber optic,85.7,Offer a term contract; Add Online Security (incentive)
4029-HPFVY,82,High,0.8227,3,Month-to-month,Fiber optic,70.3,Offer a term contract; Add Online Security (incentive)
7321-VGNKU,82,High,0.8226,2,Month-to-month,Fiber optic,70.35,Offer a term contract; Add Online Security (incentive)
6077-BDPXA,82,High,0.8217,3,Month-to-month,Fiber optic,70.15,Offer a term contract; Add Online Security (incentive)
6986-IXNDM,82,High,0.8212,14,Month-to-month,Fiber optic,92.9,Offer a term contract; Add Online Security (incentive)
8064-RAVOH,82,High,0.821,1,Month-to-month,DSL,49.85,Offer a term contract; Add Online Security (incentive)
0225-ZORZP,82,High,0.8201,3,Month-to-month,Fiber optic,84.3,Offer a term contract; Add Online Security (incentive)
6175-IRFIT,82,High,0.8199,5,Month-to-month,Fiber optic,78.75,Offer a term contract; Add Online Security (incentive)
6127-IYJOZ,82,High,0.8198,1,Month-to-month,DSL,45.85,Offer a term contract; Add Online Security (incentive)
4059-IIEBK,82,High,0.8193,7,Month-to-month,Fiber optic,78.55,Offer a term contract; Add Online Security (incentive)
4633-MKHYU,82,High,0.819,9,Month-to-month,Fiber optic,88.4,Offer a term contract; Add Online Security (incentive)
9822-OAOVB,82,High,0.8189,1,Month-to-month,DSL,55.45,Offer a term contract; Add Online Security (incentive)
3496-LFSZU,82,High,0.8187,4,Month-to-month,Fiber optic,70.5,Offer a term contract; Add Online Security (incentive)
2754-SDJRD,82,High,0.8186,8,Month-to-month,Fiber optic,100.15,Offer a term contract; Add Online Security (incentive)
2077-MPJQO,82,High,0.8185,7,Month-to-month,Fiber optic,75.4,Offer a term contract; Add Online Security (incentive)
0365-BZUWY,82,High,0.8183,17,Month-to-month,Fiber optic,102.55,Offer a term contract; Add Online Security (incentive)
2080-GKCWQ,82,High,0.8178,2,Month-to-month,Fiber optic,74.95,Offer a term contract; Add Online Security (incentive)
5091-HFAZW,82,High,0.8176,2,Month-to-month,Fiber optic,91.15,Offer a term contract; Add Tech Support
2876-GZYZC,82,High,0.8171,13,Month-to-month,Fiber optic,85.95,Offer a term contract; Add Online Security (incentive)
4195-NZGTA,82,High,0.8163,1,Month-to-month,DSL,25.25,Offer a term contract; Add Online Security (incentive)
0674-EYYZV,82,High,0.8161,1,Month-to-month,DSL,54.65,Offer a term contract; Add Online Security (incentive)
7517-LDMPS,82,High,0.8156,12,Month-to-month,Fiber optic,84.6,Offer a term contract; Add Online Security (incentive)
9360-OMDZZ,82,High,0.8155,24,Month-to-month,Fiber optic,94.1,Offer a term contract; Add Online Security (incentive)
7206-PQBBZ,82,High,0.8153,11,Month-to-month,Fiber optic,70.2,Offer a term contract; Add Online Security (incentive)
7402-EYFXX,81,High,0.8146,26,Month-to-month,Fiber optic,93.6,Offer a term contract; Add Online Security (incentive)
4741-WWJQZ,81,High,0.814,2,Month-to-month,Fiber optic,80.15,Offer a term contract; Move to automatic payment
0224-RLWWD,81,High,0.814,2,Month-to-month,DSL,44.3,Offer a term contract; Add Online Security (incentive)
8875-AKBYH,81,High,0.8126,20,Month-to-month,Fiber optic,84.35,Offer a term contract; Add Online Security (incentive)
0258-NOKBL,81,High,0.8125,3,Month-to-month,Fiber optic,90.4,Offer a term contract; Add Online Security (incentive)
9402-ORRAH,81,High,0.8124,15,Month-to-month,Fiber optic,91.5,Offer a term contract; Add Online Security (incentive)
7537-RBWEA,81,High,0.8113,1,Month-to-month,DSL,25.15,Offer a term contract; Add Online Security (incentive)
0168-XZKBB,81,High,0.8105,19,Month-to-month,Fiber optic,86.85,Offer a term contract; Add Online Security (incentive)
8687-BAFGU,81,High,0.8104,1,Month-to-month,Fiber optic,74.0,Offer a term contract; Add Online Security (incentive)
5956-YHHRX,81,High,0.8104,21,Month-to-month,Fiber optic,104.35,Offer a term contract; Add Online Security (incentive)
4815-GBTCD,81,High,0.8103,4,Month-to-month,DSL,25.15,Offer a term contract; Add Online Security (incentive)
8325-QRPZR,81,High,0.8102,7,Month-to-month,Fiber optic,75.15,Offer a term contract; Add Online Security (incentive)
2792-LSHWX,81,High,0.8098,1,Month-to-month,Fiber optic,83.4,Offer a term contract; Move to automatic payment
7952-OBOYL,81,High,0.8089,3,Month-to-month,Fiber optic,89.85,Offer a term contract; Add Online Security (incentive)
6583-KQJLK,81,High,0.8088,15,Month-to-month,Fiber optic,94.65,Offer a term contract; Add Online Security (incentive)
0840-DFEZH,81,High,0.8086,7,Month-to-month,Fiber optic,75.35,Offer a term contract; Add Online Security (incentive)
3199-XGZCY,81,High,0.8083,8,Month-to-month,Fiber optic,75.25,Offer a term contract; Add Online Security (incentive)
4373-VVHQL,81,High,0.8081,1,Month-to-month,DSL,44.75,Offer a term contract; Add Online Security (incentive)
8705-WZCYL,81,High,0.8081,1,Month-to-month,DSL,44.8,Offer a term contract; Add Online Security (incentive)
2688-BHGOG,81,High,0.8074,9,Month-to-month,Fiber optic,79.55,Offer a term contract; Add Online Security (incentive)
7354-OIJLX,81,High,0.807,9,Month-to-month,Fiber optic,75.85,Offer a term contract; Add Online Security (incentive)
4559-UWIHT,81,High,0.8069,14,Month-to-month,Fiber optic,82.65,Offer a term contract; Add Online Security (incentive)
4301-VVZKA,81,High,0.8064,16,Month-to-month,Fiber optic,75.4,Offer a term contract; Add Online Security (incentive)
1078-TDCRN,81,High,0.8059,3,Month-to-month,DSL,30.75,Offer a term contract; Add Online Security (incentive)
5937-EORGB,81,High,0.8058,15,Month-to-month,Fiber optic,96.5,Offer a term contract; Add Tech Support
8873-GLDMH,80,High,0.8048,6,Month-to-month,Fiber optic,73.85,Offer a term contract; Add Online Security (incentive)
6860-YRJZP,80,High,0.8045,9,Month-to-month,Fiber optic,74.05,Offer a term contract; Add Online Security (incentive)
5133-POWUA,80,High,0.8036,1,Month-to-month,DSL,45.8,Offer a term contract; Add Online Security (incentive)
8107-KNCIM,80,High,0.8036,14,Month-to-month,Fiber optic,75.1,Offer a term contract; Add Online Security (incentive)
7668-XCFYV,80,High,0.803,17,Month-to-month,Fiber optic,92.55,Offer a term contract; Add Online Security (incentive)
7394-LWLYN,80,High,0.8026,2,Month-to-month,Fiber optic,70.15,Offer a term contract; Add Online Security (incentive)
0248-IPDFW,80,High,0.7998,1,Month-to-month,DSL,50.1,Offer a term contract; Add Online Security (incentive)
8720-RQSBJ,80,High,0.7997,1,Month-to-month,DSL,44.0,Offer a term contract; Add Online Security (incentive)
1219-NNDDO,80,High,0.7997,9,Month-to-month,Fiber optic,76.85,Offer a term contract; Add Online Security (incentive)
3717-OEAUQ,80,High,0.7994,2,Month-to-month,Fiber optic,70.7,Offer a term contract; Add Online Security (incentive)
7379-FNIUJ,80,High,0.7993,2,Month-to-month,Fiber optic,100.2,Offer a term contract; Add Tech Support
9620-ENEJV,80,High,0.7992,6,Month-to-month,Fiber optic,70.55,Offer a term contract; Add Online Security (incentive)
3317-VLGQT,80,High,0.799,14,Month-to-month,Fiber optic,78.1,Offer a term contract; Add Online Security (incentive)
0396-YCHWO,80,High,0.7988,36,Month-to-month,Fiber optic,95.4,Offer a term contract; Add Online Security (incentive)
8313-NDOIA,80,High,0.7988,24,Month-to-month,Fiber optic,104.15,Offer a term contract; Add Online Security (incentive)
8541-QVFKM,80,High,0.7986,8,Month-to-month,Fiber optic,73.5,Offer a term contract; Add Online Security (incentive)
3629-ZNKXA,80,High,0.7985,17,Month-to-month,Fiber optic,101.8,Offer a term contract; Add Online Security (incentive)
3096-GKWEB,80,High,0.7981,18,Month-to-month,Fiber optic,94.75,Offer a term contract; Add Online Security (incentive)
9398-MMQTO,80,High,0.798,3,Month-to-month,Fiber optic,74.45,Offer a term contract; Add Online Security (incentive)
6267-DCFFZ,80,High,0.7979,30,Month-to-month,Fiber optic,90.05,Offer a term contract; Add Online Security (incentive)
2959-FENLU,80,High,0.7978,9,Month-to-month,Fiber optic,85.3,Offer a term contract; Add Online Security (incentive)
0581-BXBUB,80,High,0.7977,4,Month-to-month,Fiber optic,72.75,Offer a term contract; Add Online Security (incentive)
7245-NIIWQ,80,High,0.7975,3,Month-to-month,Fiber optic,69.85,Offer a term contract; Add Online Security (incentive)
6705-LXORM,80,High,0.7969,5,Month-to-month,Fiber optic,70.05,Offer a term contract; Add Online Security (incentive)
2235-DWLJU,80,High,0.7968,6,Month-to-month,DSL,44.4,Offer a term contract; Add Online Security (incentive)
3452-GWUIN,80,High,0.796,19,Month-to-month,Fiber optic,94.95,Offer a term contract; Add Online Security (incentive)
0644-OQMDK,80,High,0.7957,4,Month-to-month,Fiber optic,70.65,Offer a term contract; Add Online Security (incentive)
9743-DQKQW,80,High,0.7954,3,Month-to-month,DSL,25.1,Offer a term contract; Add Online Security (incentive)
0928-XUTSN,80,High,0.7953,13,Month-to-month,Fiber optic,80.5,Offer a term contract; Add Online Security (incentive)
4367-NHWMM,79,High,0.7949,1,Month-to-month,DSL,24.9,Offer a term contract; Add Online Security (incentive)
9919-KNPOO,79,High,0.794,21,Month-to-month,Fiber optic,94.3,Offer a term contract; Add Online Security (incentive)
8710-YGLWG,79,High,0.7935,1,Month-to-month,DSL,44.9,Offer a term contract; Add Online Security (incentive)
6519-CFDBX,79,High,0.7928,2,Month-to-month,DSL,45.4,Offer a term contract; Add Online Security (incentive)
8356-WUAOJ,79,High,0.7919,1,Month-to-month,DSL,45.0,Offer a term contract; Add Online Security (incentive)
8903-WMRNW,79,High,0.7919,15,Month-to-month,Fiber optic,101.75,Offer a term contract; Add Tech Support
2371-JQHZZ,79,High,0.7918,24,Month-to-month,Fiber optic,93.0,Offer a term contract; Add Online Security (incentive)
5382-SOYZL,79,High,0.7917,22,Month-to-month,Fiber optic,95.1,Offer a term contract; Add Online Security (incentive)
9093-FPDLG,79,High,0.7909,11,Month-to-month,Fiber optic,94.2,Offer a term contract; Add Online Security (incentive)
8445-DNBAE,79,High,0.7906,1,Month-to-month,DSL,50.05,Offer a term contract; Add Online Security (incentive)
8709-KRDVL,79,High,0.7906,33,Month-to-month,Fiber optic,100.0,Offer a term contract; Add Online Security (incentive)
5216-WASFJ,79,High,0.7901,31,Month-to-month,Fiber optic,84.85,Offer a term contract; Add Online Security (incentive)
2103-ZRXFN,79,High,0.7901,1,Month-to-month,DSL,50.75,Offer a term contract; Add Online Security (incentive)
4706-DGAHW,79,High,0.7901,1,Month-to-month,DSL,45.2,Offer a term contract; Add Online Security (incentive)
7392-YYPYJ,79,High,0.79,22,Month-to-month,Fiber optic,100.65,Offer a term contract; Add Online Security (incentive)
6116-RFVHN,79,High,0.7897,34,Month-to-month,Fiber optic,100.45,Offer a term contract; Add Online Security (incentive)
6851-WEFYX,79,High,0.7892,35,Month-to-month,Fiber optic,100.8,Offer a term contract; Add Online Security (incentive)
9773-PEQBZ,79,High,0.7891,10,Month-to-month,Fiber optic,79.85,Offer a term contract; Add Online Security (incentive)
6907-FLBER,79,High,0.789,1,Month-to-month,DSL,54.3,Offer a term contract; Add Online Security (incentive)
2275-RBYQS,79,High,0.7888,1,Month-to-month,DSL,45.4,Offer a term contract; Add Online Security (incentive)
5995-SNNEW,79,High,0.7881,23,Month-to-month,Fiber optic,104.45,Offer a term contract; Add Online Security (incentive)
2799-ARNLO,79,High,0.788,5,Month-to-month,Fiber optic,69.35,Offer a term contract; Add Online Security (incentive)
4298-OYIFC,79,High,0.7873,15,Month-to-month,Fiber optic,103.45,Offer a term contract; Add Online Security (incentive)
2277-VWCNI,79,High,0.7872,4,Month-to-month,DSL,48.75,Offer a term contract; Add Online Security (incentive)
7426-RHZGU,79,High,0.7871,9,Month-to-month,Fiber optic,95.9,Offer a term contract; Add Online Security (incentive)
9588-OZDMQ,79,High,0.7868,2,Month-to-month,DSL,45.0,Offer a term contract; Add Online Security (incentive)
5501-TVMGM,79,High,0.7868,1,Month-to-month,DSL,55.25,Offer a term contract; Add Online Security (incentive)
4123-DVHPH,79,High,0.7866,9,Month-to-month,Fiber optic,88.05,Offer a term contract; Add Tech Support
3566-HJGPK,79,High,0.7864,1,Month-to-month,DSL,45.55,Offer a term contract; Add Online Security (incentive)
5117-IFGPS,79,High,0.7863,29,Month-to-month,Fiber optic,84.3,Offer a term contract; Add Online Security (incentive)
5968-VXZLG,78,High,0.7849,2,Month-to-month,DSL,46.6,Offer a term contract; Add Online Security (incentive)
5288-AHOUP,78,High,0.7841,11,Month-to-month,Fiber optic,78.5,Offer a term contract; Add Online Security (incentive)
1766-GKNMI,78,High,0.7841,29,Month-to-month,Fiber optic,84.9,Offer a term contract; Add Online Security (incentive)
3453-RTHJQ,78,High,0.7839,6,Month-to-month,Fiber optic,69.1,Offer a term contract; Add Online Security (incentive)
2424-WVHPL,78,High,0.7835,1,Month-to-month,Fiber optic,74.7,Offer a term contract; Add Online Security (incentive)
