rank,CustomerID,risk_score,risk_band,churn_probability,Tenure Months,Contract,Internet Service,Monthly Charges,recommended_actions
1,4912-PIGUY,94,High,0.9361,1,Month-to-month,Fiber optic,84.6,Offer a term contract; Add Online Security (incentive)
55,9799-CAYJJ,87,High,0.8672,2,Month-to-month,Fiber optic,69.3,Offer a term contract; Add Online Security (incentive)
56,8161-QYMTT,87,High,0.8652,7,Month-to-month,Fiber optic,94.1,Offer a term contract; Add Online Security (incentive)
57,0187-QSXOE,87,High,0.8651,7,Month-to-month,Fiber optic,89.0,Offer a term contract; Add Online Security (incentive)
58,6198-ZFIOJ,86,High,0.8642,5,Month-to-month,Fiber optic,75.6,Offer a term contract; Add Online Security (incentive)
59,8266-VBFQL,86,High,0.8631,4,Month-to-month,Fiber optic,90.4,Offer a term contract; Add Online Security (incentive)
60,2674-MIAHT,86,High,0.8628,4,Month-to-month,Fiber optic,80.3,Offer a term contract; Add Online Security (incentive)
61,9840-EFJQB,86,High,0.8607,1,Month-to-month,Fiber optic,74.35,Offer a term contract; Add Online Security (incentive)
62,3411-WLRSQ,86,High,0.8605,3,Month-to-month,Fiber optic,74.6,Offer a term contract; Add Online Security (incentive)
63,2081-VEYEH,86,High,0.8591,3,Month-to-month,Fiber optic,107.95,Offer a term contract; Add Online Security (incentive)
64,3370-HXOPH,86,High,0.8589,3,Month-to-month,Fiber optic,76.1,Offer a term contract; Add Online Security (incentive)
65,9633-XQABV,86,High,0.8583,3,Month-to-month,Fiber optic,70.25,Offer a term contract; Add Online Security (incentive)
66,4482-EWFMI,86,High,0.8582,2,Month-to-month,Fiber optic,69.7,Offer a term contract; Add Online Security (incentive)
67,9741-YLNTD,86,High,0.8581,6,Month-to-month,Fiber optic,87.95,Offer a term contract; Add Online Security (incentive)
68,4450-DLLMH,86,High,0.8575,2,Month-to-month,Fiber optic,71.3,Offer a term contract; Add Online Security (incentive)
69,8087-LGYHQ,86,High,0.8563,9,Month-to-month,Fiber optic,94.05,Offer a term contract; Add Online Security (incentive)
70,2984-AFWNC,86,High,0.8559,3,Month-to-month,Fiber optic,95.4,Offer a term contract; Add Online Security (incentive)
71,1960-UYCNN,86,High,0.8556,10,Month-to-month,Fiber optic,95.25,Offer a term contract; Add Online Security (incentive)
72,5348-CAGXB,86,High,0.8556,12,Month-to-month,Fiber optic,89.55,Offer a term contract; Add Online Security (incentive)
73,4132-KALRO,85,High,0.8544,4,Month-to-month,Fiber optic,100.85,Offer a term contract; Add Online Security (incentive)
74,0928-JMXNP,85,High,0.8536,4,Month-to-month,DSL,29.9,Offer a term contract; Add Online Security (incentive)
75,3841-CONLJ,85,High,0.8531,1,Month-to-month,DSL,35.0,Offer a term contract; Add Online Security (incentive)
76,7823-JSOAG,85,High,0.8531,3,Month-to-month,Fiber optic,74.5,Offer a term contract; Add Online Security (incentive)
77,3295-YVUSR,85,High,0.8527,2,Month-to-month,Fiber optic,72.6,Offer a term contract; Add Online Security (incentive)
78,4770-UEZOX,85,High,0.8527,2,Month-to-month,Fiber optic,74.75,Offer a term contract; Add Online Security (incentive)
79,2135-DQWAQ,85,High,0.8524,5,Month-to-month,Fiber optic,85.3,Offer a term contract; Add Online Security (incentive)
80,4115-NZRKS,85,High,0.8522,7,Month-to-month,Fiber optic,89.15,Offer a term contract; Add Online Security (incentive)
81,7858-GTZSP,85,High,0.8516,12,Month-to-month,Fiber optic,86.55,Offer a term contract; Add Online Security (incentive)
82,4060-LDNLU,85,High,0.8502,7,Month-to-month,Fiber optic,96.2,Offer a term contract; Add Online Security (incentive)
83,2215-ZAFGX,85,High,0.85,9,Month-to-month,Fiber optic,85.5,Offer a term contract; Add Online Security (incentive)
84,7365-BVCJH,85,High,0.847,1,Month-to-month,DSL,24.4,Offer a term contract; Add Online Security (incentive)
85,3420-YJLQT,85,High,0.8469,2,Month-to-month,Fiber optic,79.55,Offer a term contract; Add Online Security (incentive)
86,2123-AGEEN,85,High,0.8467,7,Month-to-month,Fiber optic,84.35,Offer a term contract; Add Online Security (incentive)
87,9696-RMYBA,85,High,0.8466,5,Month-to-month,Fiber optic,80.1,Offer a term contract; Add Online Security (incentive)
88,8242-SOQUO,85,High,0.8466,5,Month-to-month,Fiber optic,84.7,Offer a term contract; Add Online Security (incentive)
89,0018-NYROU,85,High,0.8458,5,Month-to-month,Fiber optic,68.95,Offer a term contract; Add Online Security (incentive)
90,5442-BHQNG,85,High,0.8455,2,Month-to-month,Fiber optic,70.35,Offer a term contract; Add Online Security (incentive)
91,4566-NECEV,85,High,0.8454,5,Month-to-month,Fiber optic,96.55,Offer a term contract; Add Online Security (incentive)
92,8132-YPVBX,84,High,0.845,6,Month-to-month,Fiber optic,85.95,Offer a term contract; Add Online Security (incentive)
93,2800-VEQXM,84,High,0.8448,3,Month-to-month,Fiber optic,74.75,Offer a term contract; Add Online Security (incentive)
94,5399-ZIMKF,84,High,0.844,5,Month-to-month,Fiber optic,74.65,Offer a term contract; Add Online Security (incentive)
95,3489-HHPFY,84,High,0.8436,2,Month-to-month,Fiber optic,84.05,Offer a term contract; Add Online Security (incentive)
96,6969-MVBAI,84,High,0.8424,9,Month-to-month,Fiber optic,90.1,Offer a term contract; Add Online Security (incentive)
97,8035-PWSEV,84,High,0.8416,6,Month-to-month,Fiber optic,89.25,Offer a term contract; Add Online Security (incentive)
98,7994-UYIVZ,84,High,0.8416,8,Month-to-month,Fiber optic,85.65,Offer a term contract; Add Online Security (incentive)
99,5760-IFJOZ,84,High,0.8408,3,Month-to-month,Fiber optic,107.95,Offer a term contract; Add Online Security (incentive)
100,8617-ENBDS,84,High,0.84,3,Month-to-month,Fiber optic,73.6,Offer a term contract; Add Online Security (incentive)
101,5429-LWCMV,84,High,0.8395,12,Month-to-month,Fiber optic,89.15,Offer a term contract; Add Online Security (incentive)
102,6734-GMPVK,84,High,0.8393,5,Month-to-month,Fiber optic,105.3,Offer a term contract; Add Online Security (incentive)
103,4445-ZJNMU,84,High,0.8385,9,Month-to-month,Fiber optic,99.3,Offer a term contract; Add Online Security (incentive)
104,3338-CVVEH,84,High,0.8378,12,Month-to-month,Fiber optic,94.55,Offer a term contract; Add Online Security (incentive)
105,9290-SHCMB,84,High,0.8375,13,Month-to-month,Fiber optic,96.85,Offer a term contract; Add Online Security (incentive)
106,9094-AZPHK,84,High,0.8366,15,Month-to-month,Fiber optic,100.15,Offer a term contract; Add Online Security (incentive)
107,2038-OEQZH,84,High,0.8359,4,Month-to-month,Fiber optic,86.05,Offer a term contract; Add Online Security (incentive)
108,3320-VEOYC,84,High,0.8353,14,Month-to-month,Fiber optic,95.6,Offer a term contract; Add Online Security (incentive)
109,0432-CAJZV,83,High,0.8348,3,Month-to-month,Fiber optic,90.7,Offer a term contract; Add Online Security (incentive)
110,4884-ZTHVF,83,High,0.8341,8,Month-to-month,Fiber optic,87.1,Offer a term contract; Add Online Security (incentive)
111,5935-FCCNB,83,High,0.8339,17,Month-to-month,Fiber optic,94.2,Offer a term contract; Add Online Security (incentive)
112,7044-YAACC,83,High,0.8336,4,Month-to-month,Fiber optic,70.2,Offer a term contract; Add Online Security (incentive)
113,7363-QTBIW,83,High,0.8334,9,Month-to-month,Fiber optic,79.75,Offer a term contract; Add Online Security (incentive)
114,1508-DFXCU,83,High,0.8332,12,Month-to-month,Fiber optic,81.45,Offer a term contract; Add Online Security (incentive)
115,1173-XZPYF,83,High,0.8313,11,Month-to-month,Fiber optic,89.2,Offer a term contract; Add Online Security (incentive)
116,6856-RAURS,83,High,0.8308,2,Month-to-month,Fiber optic,74.9,Offer a term contract; Add Online Security (incentive)
117,3496-LFSZU,83,High,0.8291,4,Month-to-month,Fiber optic,70.5,Offer a term contract; Add Online Security (incentive)
118,7225-CBZPL,83,High,0.8285,17,Month-to-month,Fiber optic,94.8,Offer a term contract; Add Online Security (incentive)
119,0722-SVSFK,83,High,0.8282,7,Month-to-month,Fiber optic,100.4,Offer a term contract; Add Online Security (incentive)
120,5928-QLDHB,83,High,0.8256,9,Month-to-month,Fiber optic,76.25,Offer a term contract; Add Online Security (incentive)
121,6215-NQCPY,82,High,0.8249,15,Month-to-month,Fiber optic,99.7,Offer a term contract; Add Tech Support
122,6077-BDPXA,82,High,0.8238,3,Month-to-month,Fiber optic,70.15,Offer a term contract; Add Online Security (incentive)
123,4813-HQMGZ,82,High,0.8235,8,Month-to-month,Fiber optic,90.25,Offer a term contract; Add Online Security (incentive)
124,9402-ORRAH,82,High,0.8229,15,Month-to-month,Fiber optic,91.5,Offer a term contract; Add Online Security (incentive)
125,7590-VHVEG,82,High,0.8227,1,Month-to-month,DSL,29.85,Offer a term contract; Add Online Security (incentive)
126,3292-PBZEJ,82,High,0.8216,11,Month-to-month,Fiber optic,111.4,Offer a term contract; Add Online Security (incentive)
127,3916-NRPAP,82,High,0.821,3,Month-to-month,Fiber optic,85.7,Offer a term contract; Add Online Security (incentive)
128,1200-TUZHR,82,High,0.8195,8,Month-to-month,Fiber optic,85.2,Offer a term contract; Add Online Security (incentive)
129,3717-OEAUQ,82,High,0.8182,2,Month-to-month,Fiber optic,70.7,Offer a term contract; Add Online Security (incentive)
130,6986-IXNDM,82,High,0.8174,14,Month-to-month,Fiber optic,92.9,Offer a term contract; Add Online Security (incentive)
131,4029-HPFVY,82,High,0.817,3,Month-to-month,Fiber optic,70.3,Offer a term contract; Add Online Security (incentive)
132,4059-IIEBK,82,High,0.816,7,Month-to-month,Fiber optic,78.55,Offer a term contract; Add Online Security (incentive)
133,0840-DFEZH,82,High,0.8158,7,Month-to-month,Fiber optic,75.35,Offer a term contract; Add Online Security (incentive)
134,4633-MKHYU,82,High,0.8158,9,Month-to-month,Fiber optic,88.4,Offer a term contract; Add Online Security (incentive)
135,9334-GWGOW,82,High,0.8151,7,Month-to-month,Fiber optic,74.85,Offer a term contract; Add Online Security (incentive)
136,4983-CCWMC,81,High,0.8148,3,Month-to-month,Fiber optic,69.6,Offer a term contract; Add Online Security (incentive)
137,6175-IRFIT,81,High,0.8143,5,Month-to-month,Fiber optic,78.75,Offer a term contract; Add Online Security (incentive)
138,2688-BHGOG,81,High,0.8141,9,Month-to-month,Fiber optic,79.55,Offer a term contract; Add Online Security (incentive)
139,2077-MPJQO,81,High,0.8138,7,Month-to-month,Fiber optic,75.4,Offer a term contract; Add Online Security (incentive)
140,5937-EORGB,81,High,0.8132,15,Month-to-month,Fiber optic,96.5,Offer a term contract; Add Tech Support
141,9620-ENEJV,81,High,0.8128,6,Month-to-month,Fiber optic,70.55,Offer a term contract; Add Online Security (incentive)
142,7517-LDMPS,81,High,0.8125,12,Month-to-month,Fiber optic,84.6,Offer a term contract; Add Online Security (incentive)
143,3420-ZDBMA,81,High,0.8124,5,Month-to-month,Fiber optic,71.45,Offer a term contract; Add Online Security (incentive)
144,0225-ZORZP,81,High,0.812,3,Month-to-month,Fiber optic,84.3,Offer a term contract; Add Online Security (incentive)
145,9360-OMDZZ,81,High,0.812,24,Month-to-month,Fiber optic,94.1,Offer a term contract; Add Online Security (incentive)
146,7402-EYFXX,81,High,0.8112,26,Month-to-month,Fiber optic,93.6,Offer a term contract; Add Online Security (incentive)
147,8705-WZCYL,81,High,0.8105,1,Month-to-month,DSL,44.8,Offer a term contract; Add Online Security (incentive)
148,4373-VVHQL,81,High,0.8105,1,Month-to-month,DSL,44.75,Offer a term contract; Add Online Security (incentive)
149,5956-YHHRX,81,High,0.8104,21,Month-to-month,Fiber optic,104.35,Offer a term contract; Add Online Security (incentive)
150,6127-IYJOZ,81,High,0.8101,1,Month-to-month,DSL,45.85,Offer a term contract; Add Online Security (incentive)
151,2468-SJFLM,81,High,0.8099,1,Month-to-month,Fiber optic,74.3,Offer a term contract; Add Online Security (incentive)
152,7952-OBOYL,81,High,0.8097,3,Month-to-month,Fiber optic,89.85,Offer a term contract; Add Online Security (incentive)
153,6860-YRJZP,81,High,0.8097,9,Month-to-month,Fiber optic,74.05,Offer a term contract; Add Online Security (incentive)
154,2080-GKCWQ,81,High,0.8095,2,Month-to-month,Fiber optic,74.95,Offer a term contract; Add Online Security (incentive)
155,7668-XCFYV,81,High,0.8091,17,Month-to-month,Fiber optic,92.55,Offer a term contract; Add Online Security (incentive)
156,0365-BZUWY,81,High,0.8089,17,Month-to-month,Fiber optic,102.55,Offer a term contract; Add Online Security (incentive)
157,7321-VGNKU,81,High,0.8088,2,Month-to-month,Fiber optic,70.35,Offer a term contract; Add Online Security (incentive)
158,2876-GZYZC,81,High,0.8083,13,Month-to-month,Fiber optic,85.95,Offer a term contract; Add Online Security (incentive)
159,5091-HFAZW,81,High,0.808,2,Month-to-month,Fiber optic,91.15,Offer a term contract; Add Tech Support
160,8873-GLDMH,81,High,0.8078,6,Month-to-month,Fiber optic,73.85,Offer a term contract; Add Online Security (incentive)
161,8875-AKBYH,81,High,0.8075,20,Month-to-month,Fiber optic,84.35,Offer a term contract; Add Online Security (incentive)
162,3199-XGZCY,81,High,0.8073,8,Month-to-month,Fiber optic,75.25,Offer a term contract; Add Online Security (incentive)
163,0928-XUTSN,81,High,0.8066,13,Month-to-month,Fiber optic,80.5,Offer a term contract; Add Online Security (incentive)
164,2754-SDJRD,81,High,0.8066,8,Month-to-month,Fiber optic,100.15,Offer a term contract; Add Online Security (incentive)
165,0224-RLWWD,81,High,0.8065,2,Month-to-month,DSL,44.3,Offer a term contract; Add Online Security (incentive)
166,0168-XZKBB,81,High,0.806,19,Month-to-month,Fiber optic,86.85,Offer a term contract; Add Online Security (incentive)
167,1078-TDCRN,81,High,0.8059,3,Month-to-month,DSL,30.75,Offer a term contract; Add Online Security (incentive)
168,8325-QRPZR,81,High,0.8056,7,Month-to-month,Fiber optic,75.15,Offer a term contract; Add Online Security (incentive)
169,4195-NZGTA,81,High,0.805,1,Month-to-month,DSL,25.25,Offer a term contract; Add Online Security (incentive)
170,6583-KQJLK,81,High,0.805,15,Month-to-month,Fiber optic,94.65,Offer a term contract; Add Online Security (incentive)
171,4559-UWIHT,81,High,0.805,14,Month-to-month,Fiber optic,82.65,Offer a term contract; Add Online Security (incentive)
172,8064-RAVOH,80,High,0.8039,1,Month-to-month,DSL,49.85,Offer a term contract; Add Online Security (incentive)
173,7354-OIJLX,80,High,0.8039,9,Month-to-month,Fiber optic,75.85,Offer a term contract; Add Online Security (incentive)
174,5133-POWUA,80,High,0.8035,1,Month-to-month,DSL,45.8,Offer a term contract; Add Online Security (incentive)
175,7206-PQBBZ,80,High,0.8035,11,Month-to-month,Fiber optic,70.2,Offer a term contract; Add Online Security (incentive)
176,8687-BAFGU,80,High,0.8034,1,Month-to-month,Fiber optic,74.0,Offer a term contract; Add Online Security (incentive)
177,9822-OAOVB,80,High,0.8025,1,Month-to-month,DSL,55.45,Offer a term contract; Add Online Security (incentive)
178,2959-FENLU,80,High,0.8018,9,Month-to-month,Fiber optic,85.3,Offer a term contract; Add Online Security (incentive)
179,1219-NNDDO,80,High,0.8016,9,Month-to-month,Fiber optic,76.85,Offer a term contract; Add Online Security (incentive)
180,0644-OQMDK,80,High,0.8011,4,Month-to-month,Fiber optic,70.65,Offer a term contract; Add Online Security (incentive)
181,0396-YCHWO,80,High,0.8004,36,Month-to-month,Fiber optic,95.4,Offer a term contract; Add Online Security (incentive)
182,3096-GKWEB,80,High,0.8002,18,Month-to-month,Fiber optic,94.75,Offer a term contract; Add Online Security (incentive)
183,4301-VVZKA,80,High,0.7997,16,Month-to-month,Fiber optic,75.4,Offer a term contract; Add Online Security (incentive)
184,8313-NDOIA,80,High,0.7995,24,Month-to-month,Fiber optic,104.15,Offer a term contract; Add Online Security (incentive)
185,3629-ZNKXA,80,High,0.7994,17,Month-to-month,Fiber optic,101.8,Offer a term contract; Add Online Security (incentive)
186,9398-MMQTO,80,High,0.7992,3,Month-to-month,Fiber optic,74.45,Offer a term contract; Add Online Security (incentive)
187,7245-NIIWQ,80,High,0.7971,3,Month-to-month,Fiber optic,69.85,Offer a term contract; Add Online Security (incentive)
188,8710-YGLWG,80,High,0.797,1,Month-to-month,DSL,44.9,Offer a term contract; Add Online Security (incentive)
189,9743-DQKQW,80,High,0.7969,3,Month-to-month,DSL,25.1,Offer a term contract; Add Online Security (incentive)
190,0674-EYYZV,80,High,0.7968,1,Month-to-month,DSL,54.65,Offer a term contract; Add Online Security (incentive)
191,7394-LWLYN,80,High,0.7963,2,Month-to-month,Fiber optic,70.15,Offer a term contract; Add Online Security (incentive)
192,3452-GWUIN,80,High,0.7957,19,Month-to-month,Fiber optic,94.95,Offer a term contract; Add Online Security (incentive)
193,8107-KNCIM,80,High,0.7955,14,Month-to-month,Fiber optic,75.1,Offer a term contract; Add Online Security (incentive)
194,5995-SNNEW,80,High,0.7952,23,Month-to-month,Fiber optic,104.45,Offer a term contract; Add Online Security (incentive)
195,0248-IPDFW,79,High,0.7943,1,Month-to-month,DSL,50.1,Offer a term contract; Add Online Security (incentive)
196,4298-OYIFC,79,High,0.7935,15,Month-to-month,Fiber optic,103.45,Offer a term contract; Add Online Security (incentive)
197,2235-DWLJU,79,High,0.7934,6,Month-to-month,DSL,44.4,Offer a term contract; Add Online Security (incentive)
198,3317-VLGQT,79,High,0.7934,14,Month-to-month,Fiber optic,78.1,Offer a term contract; Add Online Security (incentive)
199,0581-BXBUB,79,High,0.7928,4,Month-to-month,Fiber optic,72.75,Offer a term contract; Add Online Security (incentive)
200,0258-NOKBL,79,High,0.7927,3,Month-to-month,Fiber optic,90.4,Offer a term contract; Add Online Security (incentive)
201,6705-LXORM,79,High,0.7924,5,Month-to-month,Fiber optic,70.05,Offer a term contract; Add Online Security (incentive)
202,5382-SOYZL,79,High,0.7923,22,Month-to-month,Fiber optic,95.1,Offer a term contract; Add Online Security (incentive)
203,3453-RTHJQ,79,High,0.7918,6,Month-to-month,Fiber optic,69.1,Offer a term contract; Add Online Security (incentive)
204,9919-KNPOO,79,High,0.7917,21,Month-to-month,Fiber optic,94.3,Offer a term contract; Add Online Security (incentive)
205,2371-JQHZZ,79,High,0.7917,24,Month-to-month,Fiber optic,93.0,Offer a term contract; Add Online Security (incentive)
206,5288-AHOUP,79,High,0.7913,11,Month-to-month,Fiber optic,78.5,Offer a term contract; Add Online Security (incentive)
207,4367-NHWMM,79,High,0.791,1,Month-to-month,DSL,24.9,Offer a term contract; Add Online Security (incentive)
208,4706-DGAHW,79,High,0.7904,1,Month-to-month,DSL,45.2,Offer a term contract; Add Online Security (incentive)
209,4815-GBTCD,79,High,0.7903,4,Month-to-month,DSL,25.15,Offer a term contract; Add Online Security (incentive)
210,7537-RBWEA,79,High,0.79,1,Month-to-month,DSL,25.15,Offer a term contract; Add Online Security (incentive)
211,8541-QVFKM,79,High,0.79,8,Month-to-month,Fiber optic,73.5,Offer a term contract; Add Online Security (incentive)
212,1766-GKNMI,79,High,0.7897,29,Month-to-month,Fiber optic,84.9,Offer a term contract; Add Online Security (incentive)
213,6267-DCFFZ,79,High,0.7897,30,Month-to-month,Fiber optic,90.05,Offer a term contract; Add Online Security (incentive)
214,9214-EKVXR,79,High,0.7889,1,Month-to-month,DSL,44.0,Offer a term contract; Add Online Security (incentive)
215,4123-DVHPH,79,High,0.7888,9,Month-to-month,Fiber optic,88.05,Offer a term contract; Add Tech Support
216,3566-HJGPK,79,High,0.7878,1,Month-to-month,DSL,45.55,Offer a term contract; Add Online Security (incentive)
217,5216-WASFJ,79,High,0.7876,31,Month-to-month,Fiber optic,84.85,Offer a term contract; Add Online Security (incentive)
218,5117-IFGPS,79,High,0.7876,29,Month-to-month,Fiber optic,84.3,Offer a term contract; Add Online Security (incentive)
219,2799-ARNLO,79,High,0.7864,5,Month-to-month,Fiber optic,69.35,Offer a term contract; Add Online Security (incentive)
220,1666-JXLKU,79,High,0.7862,37,Month-to-month,Fiber optic,100.05,Offer a term contract; Add Online Security (incentive)
221,7392-YYPYJ,79,High,0.786,22,Month-to-month,Fiber optic,100.65,Offer a term contract; Add Online Security (incentive)
222,9773-PEQBZ,79,High,0.7856,10,Month-to-month,Fiber optic,79.85,Offer a term contract; Add Online Security (incentive)
223,8709-KRDVL,79,High,0.7851,33,Month-to-month,Fiber optic,100.0,Offer a term contract; Add Online Security (incentive)
224,5183-SNMJQ,78,High,0.7847,10,Month-to-month,Fiber optic,95.1,Offer a term contract; Add Online Security (incentive)
225,2792-LSHWX,78,High,0.7836,1,Month-to-month,Fiber optic,83.4,Offer a term contract; Move to automatic payment
226,8903-WMRNW,78,High,0.7836,15,Month-to-month,Fiber optic,101.75,Offer a term contract; Add Tech Support
227,2809-ZMYOQ,78,High,0.7835,32,Month-to-month,Fiber optic,101.35,Offer a term contract; Add Online Security (incentive)
228,6507-ZJSUR,78,High,0.7831,23,Month-to-month,Fiber optic,90.45,Offer a term contract; Add Online Security (incentive)
229,6519-CFDBX,78,High,0.7824,2,Month-to-month,DSL,45.4,Offer a term contract; Add Online Security (incentive)
230,8950-MTZNV,78,High,0.7821,1,Month-to-month,DSL,44.95,Offer a term contract; Add Online Security (incentive)
231,6851-WEFYX,78,High,0.7819,35,Month-to-month,Fiber optic,100.8,Offer a term contract; Add Online Security (incentive)
232,3278-FSIXX,78,High,0.7811,2,Month-to-month,DSL,45.25,Offer a term contract; Add Online Security (incentive)
